region,departure_h,route,km_per_unit,hours_per_unit,dp_solve_s,oracle_ok,oracle_J,oracle_h,stale_ok,stale_J,stale_h,pol_ok,pol_J,pol_h,stale_cost,policy_gap,replan_ok,replan_J,replan_gap,replan_vs_stale
N Atlantic,0,0,89.096,9.899555555555557,2.75,1,4.647,32.67,1,4.453,32.67,1,4.593,33.66,-0.041694687289847154,-0.011577713702356163,1,4.572,-0.016139878950908293,0.02666666666666817
N Atlantic,0,1,89.096,9.899555555555557,37.01,1,7.05,44.55,1,6.466,37.62,1,6.279,39.6,-0.08289007092198564,-0.10932618150628837,1,6.381,-0.09485815602836878,-0.013049782503625207
N Atlantic,0,2,89.096,9.899555555555557,23.42,1,3.428,26.23,1,4.622,29.7,1,4.965,30.69,0.34822242479489507,0.44837335147504986,1,5.006,0.46034639927073795,0.08316430020283971
N Atlantic,12,0,89.096,9.899555555555557,18.36,1,4.241,32.17,1,4.369,33.16,1,4.39,33.66,0.03021370670596868,0.03515327783894939,1,4.338,0.02284450994841647,-0.007153075822602495
N Atlantic,12,1,89.096,9.899555555555557,27.48,1,4.362,32.17,1,5.806,39.6,1,5.932,40.09,0.33094555873925513,0.35970495206937847,1,6.1,0.39828080229226304,0.050592034445639866
N Atlantic,12,2,89.096,9.899555555555557,35.9,1,5.759,27.72,1,4.3,24.75,1,3.566,26.23,-0.2533912099837231,-0.3809004034895086,1,3.906,-0.32175800325556214,-0.09156976744186018
N Atlantic,24,0,89.096,9.899555555555557,6.04,1,4.037,34.15,1,4.716,37.12,1,4.809,35.64,0.1679566563467494,0.19099029898751474,1,4.778,0.18343653250774072,0.013253810470510885
N Atlantic,24,1,89.096,9.899555555555557,33.45,1,7.656,42.07,1,5.659,33.16,1,5.707,38.61,-0.2608163265306126,-0.2545789813303403,1,5.531,-0.27755102040816415,-0.022639425731640794
N Atlantic,24,2,89.096,9.899555555555557,28.63,1,3.441,25.74,1,3.844,29.7,1,3.849,27.72,0.11716621253405957,0.11882773613276432,1,3.884,0.1289736603088103,0.01056910569105729
Bay of Biscay,0,0,61.863,6.873666666666667,15.17,1,4.222,21.31,1,5.478,24.4,1,5.46,25.43,0.2975573649148793,0.29321115626150207,1,5.772,0.3671354552183572,0.05362236166571499
Bay of Biscay,0,1,61.863,6.873666666666667,80.63,1,5.303,24.06,1,5.009,22.68,1,4.895,24.4,-0.055391868002357625,-0.07695960465191298,1,4.975,-0.06187389510901664,-0.00686213349968845
Bay of Biscay,0,2,61.863,6.873666666666667,5.74,1,3.341,16.84,1,3.825,17.87,1,3.8,17.87,0.14499532273152438,0.13760517589857568,1,3.856,0.15434985968194503,0.008169934640522625
Bay of Biscay,12,0,61.863,6.873666666666667,2.84,1,5.303,24.4,1,5.619,25.78,1,5.548,25.09,0.05951679434295731,0.046253297030511176,1,5.562,0.04890984089569761,-0.010011123470522576
Bay of Biscay,12,1,61.863,6.873666666666667,16.42,1,5.091,23.37,1,4.659,22.34,1,4.579,23.03,-0.0847145488029476,-0.10054636465188826,1,4.619,-0.09269490484960119,-0.00871898054996556
Bay of Biscay,12,2,61.863,6.873666666666667,6.76,1,3.834,17.53,1,4.331,19.59,1,4.307,19.59,0.12958435207823937,0.12327064292533296,1,4.325,0.12795436022819873,-0.0014430014430013571
